location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr 
samsung ram 42.33946938 -71.09038344 1434571781000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946925 -71.0903835 1434571782000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946915 -71.09038354 1434571783000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946908 -71.0903836 1434571784000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946905 -71.09038358 1434571785000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946901 -71.09038355 1434571786000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946892 -71.09038356 1434571787000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946881 -71.09038357 1434571788000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946864 -71.09038362 1434571789000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.3394685 -71.09038363 1434571790000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946835 -71.09038363 1434571791000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946828 -71.09038364 1434571792000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946805 -71.09038369 1434571793000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946794 -71.09038373 1434571794000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946779 -71.09038375 1434571795000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946772 -71.09038376 1434571796000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394676 -71.09038374 1434571797000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946753 -71.09038375 1434571798000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946749 -71.09038372 1434571799000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946741 -71.09038373 1434571800000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946727 -71.09038375 1434571801000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946711 -71.0903838 1434571802000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946696 -71.09038384 1434571803000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946688 -71.09038382 1434571804000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946679 -71.09038382 1434571805000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946667 -71.09038392 1434571806000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946652 -71.09038397 1434571807000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946637 -71.090384 1434571808000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946618 -71.09038404 1434571809000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946601 -71.09038409 1434571810000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946572 -71.09038418 1434571811000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946562 -71.09038418 1434571812000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946542 -71.09038422 1434571813000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946531 -71.09038422 1434571814000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946524 -71.09038421 1434571815000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946509 -71.09038423 1434571816000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946492 -71.09038426 1434571817000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946485 -71.09038426 1434571818000 0.0 3G -77.0 0.0 -1 -1 2147483647
samsung ram 42.33946469 -71.09038427 1434571819000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946458 -71.09038427 1434571820000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946437 -71.0903843 1434571821000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946427 -71.09038427 1434571822000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946409 -71.09038428 1434571823000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946387 -71.09038431 1434571824000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946384 -71.09038428 1434571825000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946379 -71.09038424 1434571826000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946357 -71.09038426 1434571827000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946335 -71.09038428 1434571828000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946316 -71.09038429 1434571829000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946303 -71.0903843 1434571830000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946301 -71.09038428 1434571831000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946294 -71.09038428 1434571832000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946285 -71.09038426 1434571833000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946277 -71.09038424 1434571834000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946263 -71.09038426 1434571835000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33946243 -71.0903843 1434571836000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946219 -71.09038432 1434571837000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946194 -71.09038436 1434571838000 0.0 3G -80.0 1.0 -1 -1 2147483647
samsung ram 42.33946173 -71.09038443 1434571839000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946163 -71.09038446 1434571840000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.3394614 -71.09038453 1434571841000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946127 -71.09038456 1434571842000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946092 -71.09038463 1434571843000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946055 -71.0903847 1434571844000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33946028 -71.09038476 1434571845000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33946006 -71.09038481 1434571846000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394597 -71.09038492 1434571847000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33945944 -71.09038493 1434571848000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33945924 -71.0903849 1434571849000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33945908 -71.09038484 1434571850000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394589 -71.09038486 1434571851000 0.0 3G 0.0 0.0 -1 -1 2147483647
